year,population_by_age_group,number_of_population
2007,Below 21,28
2007,21-30,226
2007,31-40,162
2007,41-50,169
2007,51-60,56
2007,60 Above,2
2008,Below 21,41
2008,21-30,171
2008,31-40,140
2008,41-50,133
2008,51-60,77
2008,60 Above,1
2009,Below 21,44
2009,21-30,211
2009,31-40,181
2009,41-50,116
2009,51-60,57
2009,60 Above,4
2010,Below 21,65
2010,21-30,257
2010,31-40,213
2010,41-50,155
2010,51-60,68
2010,60 Above,7
2011,Below 21,134
2011,21-30,505
2011,31-40,288
2011,41-50,201
2011,51-60,130
2011,60 Above,22
2012,Below 21,125
2012,21-30,591
2012,31-40,363
2012,41-50,250
2012,51-60,153
2012,60 Above,21
2013,Below 21,91
2013,21-30,631
2013,31-40,443
2013,41-50,224
2013,51-60,200
2013,60 Above,28
2014,Below 21,79
2014,21-30,577
2014,31-40,370
2014,41-50,195
2014,51-60,160
2014,60 Above,19
2015,Below 21,76
2015,21-30,633
2015,31-40,344
2015,41-50,206
2015,51-60,132
2015,60 Above,28
2016,Below 21,88
2016,21-30,640
2016,31-40,407
2016,41-50,202
2016,51-60,96
2016,60 Above,31
2017,Below 21,116
2017,21-30,535
2017,31-40,411
2017,41-50,183
2017,51-60,88
2017,60 Above,27
2018,Below 21,131
2018,21-30,586
2018,31-40,389
2018,41-50,200
2018,51-60,112
2018,60 Above,43
2019,Below 21,115
2019,21-30,615
2019,31-40,592
2019,41-50,412
2019,51-60,431
2019,60 Above,144
2020,Below 21,126
2020,21-30,699
2020,31-40,677
2020,41-50,609
2020,51-60,581
2020,60 Above,292
2021,Below 21,79
2021,21-30,549
2021,31-40,638
2021,41-50,696
2021,51-60,758
2021,60 Above,400
