year,population_by_education_level,number_of_population
2006,No Education,5
2006,Primary,146
2006,Secondary,236
2006,Pre University,7
2006,Vocational,29
2006,Tertiary & Above,9
2007,No Education,10
2007,Primary,232
2007,Secondary,353
2007,Pre University,8
2007,Vocational,30
2007,Tertiary & Above,10
2008,No Education,11
2008,Primary,189
2008,Secondary,309
2008,Pre University,10
2008,Vocational,34
2008,Tertiary & Above,10
2009,No Education,16
2009,Primary,190
2009,Secondary,316
2009,Pre University,20
2009,Vocational,56
2009,Tertiary & Above,15
2010,No Education,11
2010,Primary,210
2010,Secondary,442
2010,Pre University,10
2010,Vocational,63
2010,Tertiary & Above,29
2011,No Education,13
2011,Primary,350
2011,Secondary,743
2011,Pre University,12
2011,Vocational,113
2011,Tertiary & Above,49
2012,No Education,26
2012,Primary,384
2012,Secondary,847
2012,Pre University,20
2012,Vocational,168
2012,Tertiary & Above,58
2013,No Education,15
2013,Primary,370
2013,Secondary,940
2013,Pre University,33
2013,Vocational,184
2013,Tertiary & Above,75
2014,No Education,11
2014,Primary,324
2014,Secondary,787
2014,Pre University,24
2014,Vocational,179
2014,Tertiary & Above,75
2015,No Education,6
2015,Primary,308
2015,Secondary,821
2015,Pre University,22
2015,Vocational,178
2015,Tertiary & Above,84
2016,No Education,11
2016,Primary,269
2016,Secondary,805
2016,Pre University,46
2016,Vocational,221
2016,Tertiary & Above,112
2017,No Education,9
2017,Primary,199
2017,Secondary,808
2017,Pre University,35
2017,Vocational,189
2017,Tertiary & Above,120
2018,No Education,10
2018,Primary,253
2018,Secondary,780
2018,Pre University,83
2018,Vocational,223
2018,Tertiary & Above,112
2019,No Education,31
2019,Primary,552
2019,Secondary,1127
2019,Pre University,110
2019,Vocational,351
2019,Tertiary & Above,138
2020,No Education,51
2020,Primary,787
2020,Secondary,1405
2020,Pre University,115
2020,Vocational,420
2020,Tertiary & Above,206
2021,No Education,48
2021,Primary,939
2021,Secondary,1432
2021,Pre University,119
2021,Vocational,378
2021,Tertiary & Above,204
