year,status,ethnic_group,no_of_drug_abusers
2003,Total ,Chinese,1098
2004,Total ,Chinese,689
2005,Total ,Chinese,581
2006,Total ,Chinese,647
2007,Total ,Chinese,813
2008,Total ,Chinese,1048
2009,Total ,Chinese,1036
2010,Total ,Chinese,1050
2011,Total ,Chinese,1109
2012,Total ,Chinese,1099
2013,Total ,Chinese,1259
2014,Total ,Chinese,971
2015,Total ,Chinese,994
2016,Total ,Chinese,935
2017,Total ,Chinese,934
2018,Total ,Chinese,975
2019,Total ,Chinese,1066
2020,Total ,Chinese,970
2003,Total ,Malay,462
2004,Total ,Malay,177
2005,Total ,Malay,133
2006,Total ,Malay,394
2007,Total ,Malay,1033
2008,Total ,Malay,1123
2009,Total ,Malay,1158
2010,Total ,Malay,1376
2011,Total ,Malay,1603
2012,Total ,Malay,1773
2013,Total ,Malay,1710
2014,Total ,Malay,1624
2015,Total ,Malay,1738
2016,Total ,Malay,1713
2017,Total ,Malay,1618
2018,Total ,Malay,1760
2019,Total ,Malay,1743
2020,Total ,Malay,1510
2003,Total ,Indian,217
2004,Total ,Indian,75
2005,Total ,Indian,61
2006,Total ,Indian,149
2007,Total ,Indian,313
2008,Total ,Indian,330
2009,Total ,Indian,374
2010,Total ,Indian,403
2011,Total ,Indian,539
2012,Total ,Indian,567
2013,Total ,Indian,541
2014,Total ,Indian,505
2015,Total ,Indian,522
2016,Total ,Indian,521
2017,Total ,Indian,465
2018,Total ,Indian,607
2019,Total ,Indian,605
2020,Total ,Indian,513
2003,Total ,Others,32
2004,Total ,Others,15
2005,Total ,Others,18
2006,Total ,Others,28
2007,Total ,Others,52
2008,Total ,Others,36
2009,Total ,Others,48
2010,Total ,Others,58
2011,Total ,Others,75
2012,Total ,Others,68
2013,Total ,Others,71
2014,Total ,Others,58
2015,Total ,Others,89
2016,Total ,Others,96
2017,Total ,Others,74
2018,Total ,Others,97
2019,Total ,Others,112
2020,Total ,Others,63
2003,New,Chinese,492
2004,New,Chinese,448
2005,New,Chinese,347
2006,New,Chinese,325
2007,New,Chinese,255
2008,New,Chinese,471
2009,New,Chinese,543
2010,New,Chinese,531
2011,New,Chinese,379
2012,New,Chinese,327
2013,New,Chinese,411
2014,New,Chinese,314
2015,New,Chinese,388
2016,New,Chinese,377
2017,New,Chinese,401
2018,New,Chinese,404
2019,New,Chinese,494
2020,New,Chinese,399
2003,New,Malay,153
2004,New,Malay,102
2005,New,Malay,74
2006,New,Malay,104
2007,New,Malay,187
2008,New,Malay,433
2009,New,Malay,496
2010,New,Malay,588
2011,New,Malay,577
2012,New,Malay,568
2013,New,Malay,513
2014,New,Malay,600
2015,New,Malay,678
2016,New,Malay,729
2017,New,Malay,632
2018,New,Malay,672
2019,New,Malay,689
2020,New,Malay,538
2003,New,Indian,66
2004,New,Indian,41
2005,New,Indian,18
2006,New,Indian,35
2007,New,Indian,63
2008,New,Indian,142
2009,New,Indian,136
2010,New,Indian,173
2011,New,Indian,141
2012,New,Indian,166
2013,New,Indian,155
2014,New,Indian,150
2015,New,Indian,200
2016,New,Indian,189
2017,New,Indian,169
2018,New,Indian,233
2019,New,Indian,219
2020,New,Indian,189
2003,New,Others,19
2004,New,Others,12
2005,New,Others,14
2006,New,Others,13
2007,New,Others,15
2008,New,Others,14
2009,New,Others,25
2010,New,Others,35
2011,New,Others,31
2012,New,Others,31
2013,New,Others,31
2014,New,Others,29
2015,New,Others,43
2016,New,Others,53
2017,New,Others,47
2018,New,Others,55
2019,New,Others,58
2020,New,Others,25
